Participant,Session,Session_Game_MATB,SYSMON,TRACK,RESMAN,session_factor_MATB,Group_MATB,SYSMON_log,TRACK_log,RESMAN_log,SYSMON_log_inv,TRACK_log_inv,RESMAN_log_inv,SYSMON_z,TRACK_z,RESMAN_z,MATB_z_mean,Date,Session_Game_SF,TotalScore,Flight,Bonus,Mine,Fortress,NumberofBonus,NumberofMine,Bonus_Prct,Mine_Prct,FortressShot,session_factor_SF,Group_SF,SF_zscore
P020,T09,4.0,1.23,2.01,122.28,10.0,A,0.8020015854720274,1.1019400787607843,4.814458191011861,-0.8020015854720274,-1.1019400787607843,-4.814458191011861,1.2499147607635779,1.627223512739791,0.5067189249960633,1.1279523994998106,0023-10-04 18:18:20,4.0,10580.0,-50.0,1000.0,1130.0,8500.0,18.0,22.0,94.4444444444444,95.4545454545455,426.0,10.0,A,2.90802457689462
P020,T10,10.0,1.13,2.0,110.33,11.0,A,0.7561219797213337,1.0986122886681098,4.712498763740616,-0.7561219797213337,-1.0986122886681098,-4.712498763740616,1.3719879122188476,1.6457093456237204,0.6886160308419068,1.235437762894825,0023-10-09 18:23:42,6.0,11390.0,-50.0,1000.0,940.0,9500.0,17.0,20.0,100.0,90.0,473.0,11.0,A,3.273963260516
P021,E1,2.0,6.23,4.03,149.99,1.0,B,1.9782390361706734,1.6154199841116479,5.017213609456379,-1.9782390361706734,-1.6154199841116479,-5.017213609456379,-1.8797331539708475,-1.2251510226815465,0.1450003002777583,-0.9866279587915453,0023-08-31 16:53:49,0.0,3335.0,-35.0,400.0,970.0,2000.0,14.0,20.0,50.0,95.0,115.0,1.0,B,-0.365093648829973
P021,E2,5.0,1.38,2.98,71.23,12.0,B,0.8671004876833833,1.3812818192963463,4.2798554720627555,-0.8671004876833833,-1.3812818192963463,-4.2798554720627555,1.0767042891566267,0.07548359248047236,1.4604579754858644,0.8708819523743211,0023-10-13 14:05:30,4.0,6495.0,-85.0,400.0,1180.0,5000.0,12.0,22.0,91.6666666666667,100.0,246.0,12.0,B,1.06251899344604
P021,E3,1.0,2.02,2.72,71.05,13.0,B,1.1052568313867783,1.3137236682850553,4.277360322445531,-1.1052568313867783,-1.3137236682850553,-4.277360322445531,0.4430350380973319,0.4507682873568611,1.4649093588073694,0.7862375614205209,0023-11-13 17:28:15,4.0,6115.0,-185.0,400.0,650.0,5250.0,12.0,18.0,83.3333333333333,77.7777777777778,283.0,13.0,B,0.890844055450822
P021,T01,5.0,2.02,3.4,140.49,2.0,B,1.1052568313867783,1.4816045409242156,4.952229043207861,-1.1052568313867783,-1.4816045409242156,-4.952229043207861,0.4430350380973319,-0.4818078876991939,0.2609337145936943,0.0740536216639441,0023-09-05 11:22:13,10.0,4270.0,-50.0,600.0,970.0,2750.0,12.0,21.0,83.3333333333333,90.4761904761905,149.0,2.0,B,0.0573170538687839
P021,T02,5.0,1.52,3.13,137.4,3.0,B,0.9242589015233319,1.4182774069729414,4.93014804318357,-0.9242589015233319,-1.4182774069729414,-4.93014804318357,0.9246212972594803,-0.13002644036017244,0.30032654080009846,0.36497379923313544,0023-09-14 15:08:31,10.0,4440.0,-100.0,450.0,1090.0,3000.0,13.0,21.0,61.5384615384615,95.2380952380952,171.0,3.0,B,0.134118999814012
P021,T03,9.0,1.64,3.1,75.05,4.0,B,0.9707789171582247,1.410986973710262,4.331391018705302,-0.9707789171582247,-1.410986973710262,-4.331391018705302,0.8008441892965611,-0.08952817358487228,1.3685178083689542,0.6932779413602144,0023-09-15 15:13:16,10.0,4890.0,-150.0,500.0,1040.0,3500.0,13.0,22.0,69.2307692307692,90.9090909090909,199.0,4.0,B,0.337418268492558
P021,T04,7.0,1.37,2.82,97.05,5.0,B,0.8628899551470398,1.3402504226184837,4.585477552642355,-0.8628899551470398,-1.3402504226184837,-4.585477552642355,1.0879073709531313,0.303412494501935,0.9152237246880223,0.7688478633810295,0023-09-20 09:27:31,8.0,4540.0,-100.0,650.0,990.0,3000.0,16.0,22.0,62.5,86.3636363636364,178.0,5.0,B,0.179296615075911
P021,T05,8.0,1.8,2.71,84.08,6.0,B,1.0296194171811581,1.3110318766193438,4.4435919903320364,-1.0296194171811581,-1.3110318766193438,-4.4435919903320364,0.644285623601067,0.4657211568302794,1.168349637968193,0.7594521394665131,0023-09-22 14:33:28,9.0,4395.0,-185.0,450.0,630.0,3500.0,13.0,20.0,76.9230769230769,70.0,190.0,6.0,B,0.113789072946158
